                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0744,                 2.6186,                  1.352,                0.84661,                0.11622,                0.50276,                0.33526,                0.88139,                 2.8223,                 1.2966,             0.00046598,             0.00046598,             0.00046598
                      1,                 1.1087,                 2.0246,                 1.3735,                0.33732,                0.38095,                0.34304,                0.17501,                 1.4561,                 3.4042,                 1.9915,             0.00092365,             0.00092365,             0.00092365
                      2,                  1.223,                 2.0609,                 1.4741,                0.31518,                0.38809,                0.22373,                0.12166,                 1.5385,                 5.2732,                 2.0776,              0.0013625,              0.0013625,              0.0013625
                      3,                 1.2732,                 2.0082,                 1.5123,                0.44559,                0.38049,                0.32686,                0.21327,                  1.715,                 2.5688,                 2.0536,              0.0013441,              0.0013441,              0.0013441
                      4,                 1.1761,                 1.7908,                 1.4352,                 0.5837,                0.53957,                0.54366,                0.37923,                 1.1406,                 2.4888,                 1.5129,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.2129,                 1.7804,                  1.454,                0.75054,                0.57222,                0.64903,                0.41102,                 1.2244,                 1.7114,                 1.6644,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.1614,                 1.6385,                 1.4145,                0.68937,                0.65777,                0.70992,                 0.5121,                 1.0988,                 1.6456,                 1.5435,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.1435,                  1.581,                 1.4044,                0.60884,                0.61629,                0.58891,                0.40282,                 1.2059,                  1.591,                 1.5567,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.1269,                 1.5264,                 1.3852,                0.69091,                0.70682,                0.73611,                0.53556,                0.98164,                 1.2707,                 1.4285,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.0881,                 1.4425,                 1.3845,                0.73754,                0.71195,                0.75223,                0.52593,                 1.0349,                 1.3679,                 1.4897,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.1286,                 1.5108,                 1.3783,                0.81076,                0.64659,                0.74823,                0.54723,                 1.0408,                 1.4509,                 1.4378,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.1081,                 1.4005,                 1.3637,                 0.8184,                0.67412,                0.78282,                0.57546,                0.98124,                 1.1414,                 1.3952,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.0703,                 1.3157,                 1.3467,                0.92225,                0.70051,                0.80339,                0.51071,                 1.1244,                 1.1724,                 1.5193,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.0344,                 1.3054,                 1.3219,                0.88489,                0.72523,                0.84492,                0.62501,                 0.9216,                 1.0706,                 1.3654,              0.0010895,              0.0010895,              0.0010895
